season,team,Games,PTS_per_game,FGA_per_game,FG3A_per_game,pct_3PA,FTA_per_game,pct_FTA,FG_pct,FG3_pct,FT_pct,eFG_pct,TS_pct,REB_per_game,OREB_per_game,DREB_per_game,AST_per_game,TOV_per_game,AST_to_TOV,STL_per_game,BLK_per_game,pace_proxy,cluster,pc1,pc2
1963-1964,ATL,84,109.16666666666667,2.2738095238095237,0.0,0.0,34.57142857142857,15.204188481675393,18.073298429319372,0.0,0.7579201101928374,18.073298429319372,3.121680873662137,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.2738095238095237,1,-9.951881776241233,13.288928108866099
1963-1964,BOS,64,113.96875,3.375,0.0,0.0,30.296875,8.976851851851851,13.583333333333334,0.0,0.7354306343476018,13.583333333333334,3.41108907927719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.375,1,-7.639341935037015,8.569448385433201
1963-1964,GSW,51,110.45098039215686,15.490196078431373,0.0,0.0,34.68627450980392,2.239240506329114,2.8367088607594937,0.0,0.6517806670435274,2.8367088607594937,1.7958249381519547,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.490196078431373,0,-3.2207160812830624,0.5238840485092664
1963-1964,LAL,39,114.1025641025641,6.743589743589744,0.0,0.0,36.41025641025641,5.399239543726236,6.391634980988593,0.0,0.7753521126760563,6.391634980988593,2.5061950889840054,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.743589743589744,0,-5.078931710099364,3.370729173062437
1963-1964,NYK,31,117.12903225806451,0.0,0.0,0.0,38.16129032258065,0.0,0.0,0.0,0.6939983093829247,0.0,3.4878582955506032,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.715038230294982,-2.171351434284557
1963-1964,PHI,18,119.5,0.0,0.0,0.0,32.94444444444444,0.0,0.0,0.0,0.8296795952782462,0.0,4.1219530890694465,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.758192477036998,-2.1243248378152977
1963-1964,WSB,10,117.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.679144385026738,0.0,3.5549343704423917,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.756514366584275,-2.2386559132047057
1964-1965,ATL,74,108.6891891891892,0.0,0.0,0.0,37.08108108108108,0.0,0.0,0.0,0.7361516034985423,0.0,3.3308209647495364,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.5522612660569752,-1.9863143707084718
1964-1965,BOS,72,113.38888888888889,0.0,0.0,0.0,32.59722222222222,0.0,0.0,0.0,0.7311461440136344,0.0,3.9528217840957507,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.586170029635527,-1.91025797753544
1964-1965,GSW,50,108.12,0.0,0.0,0.0,36.08,0.0,0.0,0.0,0.6396895787139689,0.0,3.4053114291473494,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.592728350214714,-2.061461270860419
1964-1965,LAL,46,115.8695652173913,0.0,0.0,0.0,38.93478260869565,0.0,0.0,0.0,0.7694025683975433,0.0,3.3818080300492364,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.677959481383188,-2.127692918258459
1964-1965,NYK,30,109.86666666666666,0.0,0.0,0.0,32.666666666666664,0.0,0.0,0.0,0.7285714285714285,0.0,3.8218923933209648,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.6470115594774994,-2.075090843354639
1964-1965,PHI,20,116.2,0.0,0.0,0.0,37.45,0.0,0.0,0.0,0.7690253671562083,0.0,3.525913338997451,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.7320052028026853,-2.200321758148232
1964-1965,WSB,10,114.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0,0.6719160104986877,0.0,3.4001431639226913,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.7341633948231823,-2.25293964235442
1965-1966,ATL,80,111.75,0.0,0.0,0.0,36.0875,0.0,0.0,0.0,0.743332178732248,0.0,3.518909216865573,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.5616194396083403,-1.9433293116342423
1965-1966,BOS,72,113.65277777777777,9.875,0.0,0.0,35.15277777777778,3.559774964838256,4.420534458509142,0.0,0.7495061240616357,4.420534458509142,2.2423601367941073,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.875,0,-4.036319347109383,1.8453522086510699
1965-1966,GSW,50,117.8,0.0,0.0,0.0,36.06,0.0,0.0,0.0,0.747642817526345,0.0,3.71224726465991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.6759591313584363,-2.057583880131235
1965-1966,LAL,40,121.525,2.425,0.0,0.0,38.8,16.0,18.855670103092784,0.0,0.7751288659793815,18.855670103092784,3.1165051033492333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.425,1,-10.50880018289344,13.754327485162461
1965-1966,NYK,30,117.1,0.0,0.0,0.0,38.8,0.0,0.0,0.0,0.7225085910652921,0.0,3.4295923149015937,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.7200977074690043,-2.187159321446974
1965-1966,PHI,20,118.05,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.669971671388102,0.0,3.800218902910121,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.7383230044183735,-2.1605825988469305
1965-1966,WSB,10,120.9,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.7686170212765957,0.0,3.6538926499032884,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.791969900286083,-2.2404605748466424
1966-1967,ATL,81,113.46913580246914,0.0,0.0,0.0,37.71604938271605,0.0,0.0,0.0,0.7086743044189853,0.0,3.4187620889748547,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.5768095220896314,-1.9699089714404228
1966-1967,BOS,72,119.5,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,0.7401515151515151,0.0,3.703512396694215,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.643423966536743,-1.9830150584128259
1966-1967,CHI,54,114.87037037037037,0.0,0.0,0.0,34.870370370370374,0.0,0.0,0.0,0.7323420074349443,0.0,3.74342200550379,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.640294923378906,-2.0209865692813915
